"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Bdd","Gen.G","Middle",2,"100%","50%",11,3,12,7.7,"51.1%","24.4%","20.0%","50%",164,175,2,9.7,"27.1%",537,"23.7%","23.6%",0.34,0.22
"Ben","Afreeca Freecs","Support",4,"50%","25%",0,11,37,3.4,"67.3%","0.0%","16.7%","50%",-347,-46,-7.3,0.9,"2.8%",186,"9.1%","7.7%",1.67,0.47
"BeryL","DAMWON Gaming","Support",4,"100%","50%",1,5,30,6.2,"54.4%","1.8%","25.0%","25%",-26,-115,-0.5,1.4,"3.9%",80,"4.5%","8.8%",1.33,0.55
"Canna","T1","Top",5,"40%","60%",13,10,30,4.3,"71.7%","21.7%","15.4%","40%",281,-10,2,8.7,"26.1%",456,"26.0%","24.4%",0.34,0.25
"Canyon","DAMWON Gaming","Jungle",4,"100%","50%",7,8,35,5.3,"73.7%","12.3%","40.0%","75%",331,496,8,6.3,"15.9%",333,"18.9%","18.2%",0.41,0.35
"Chovy","DRX","Middle",3,"33%","33%",4,10,17,2.1,"61.8%","11.8%","21.3%","0%",183,-37,8.7,10.2,"29.6%",510,"25.1%","25.9%",0.39,0.36
"Clid","Gen.G","Jungle",2,"100%","50%",7,2,10,8.5,"37.8%","15.6%","13.3%","0%",653,1233,25,7,"18.8%",343,"15.0%","19.2%",0.8,0.53
"Clozer","T1","Middle",4,"50%","50%",17,9,22,4.3,"70.9%","30.9%","18.8%","50%",9,35,0,9.2,"25.5%",450,"26.4%","24.6%",0.38,0.1
"Cuzz","T1","Jungle",5,"40%","20%",11,15,31,2.8,"70.0%","18.3%","23.1%","60%",293,151,5.2,5.6,"13.6%",226,"13.1%","16.9%",0.62,0.48
"Deft","DRX","ADC",3,"33%","33%",14,9,15,3.2,"85.3%","41.2%","19.1%","0%",-156,15,5.3,8.5,"26.0%",514,"24.6%","26.0%",0.71,0.35
"Doran","DRX","Top",3,"33%","67%",7,9,15,2.4,"64.7%","20.6%","19.1%","0%",-531,-157,3,8.6,"24.3%",512,"25.2%","23.1%",0.38,0.24
"Dread","Afreeca Freecs","Jungle",2,"0%","100%",7,6,5,2,"80.0%","46.7%","12.5%","50%",-355,-571,-7.5,6.4,"21.1%",412,"20.0%","23.8%",0.3,0.58
"Effort","T1","Support",5,"40%","80%",4,17,37,2.4,"68.3%","6.7%","26.2%","40%",84,170,0.6,1.4,"3.3%",100,"5.9%","8.6%",2.09,0.63
"Faker","T1","Middle",1,"0%","100%",0,4,4,1,"80.0%","0.0%","23.5%","0%",-828,-151,-17,8.5,"24.0%",357,"21.6%","21.5%",0.5,0.1
"Fly","Afreeca Freecs","Middle",5,"40%","60%",10,19,32,2.2,"63.6%","15.2%","19.8%","40%",-98,-252,0.6,7.8,"22.3%",397,"19.5%","21.2%",0.3,0.23
"Ghost","DAMWON Gaming","ADC",4,"100%","50%",12,1,31,43,"75.4%","21.1%","5.0%","25%",-134,-133,-6.5,9.6,"25.5%",512,"27.9%","23.5%",0.45,0.16
"Jelly","Afreeca Freecs","Support",1,"0%","0%",1,7,3,0.6,"36.4%","9.1%","23.3%","0%",-517,-165,6,1.4,"3.1%",221,"11.2%","7.9%",1.26,0.4
"Keria","DRX","Support",3,"33%","33%",1,10,21,2.2,"64.7%","2.9%","21.3%","0%",-146,-317,-1,1.4,"3.7%",162,"8.0%","8.1%",2.22,0.63
"Kiin","Afreeca Freecs","Top",5,"40%","60%",9,22,22,1.4,"47.0%","13.6%","22.9%","20%",-49,158,7.8,7.7,"23.0%",455,"23.0%","21.9%",0.41,0.2
"Life","Gen.G","Support",2,"100%","100%",4,1,23,27,"60.0%","8.9%","6.7%","50%",478,-17,-1.5,1.3,"2.7%",181,"8.0%","10.2%",1.6,0.39
"Mystic","Afreeca Freecs","ADC",5,"40%","40%",31,25,19,2,"75.8%","47.0%","26.0%","40%",-271,-417,-3,9.6,"31.6%",681,"31.5%","28.5%",0.33,0.4
"Nuguri","DAMWON Gaming","Top",4,"100%","25%",22,4,19,10.3,"71.9%","38.6%","20.0%","50%",236,234,-1.5,8.7,"25.8%",408,"23.5%","25.0%",0.4,0.23
"Pyosik","DRX","Jungle",3,"33%","100%",8,9,16,2.7,"70.6%","23.5%","19.1%","0%",-593,-488,-12.7,5.8,"16.5%",369,"17.1%","17.0%",0.4,0.43
"Rascal","Gen.G","Top",2,"100%","0%",9,7,5,2,"31.1%","20.0%","46.7%","0%",-25,-81,-6.5,8.8,"24.2%",427,"17.3%","21.4%",0.4,0.2
"Ruler","Gen.G","ADC",2,"100%","50%",14,2,18,16,"71.1%","31.1%","13.3%","50%",924,802,13,9.5,"27.2%",819,"36.0%","25.6%",0.43,0.31
"ShowMaker","DAMWON Gaming","Middle",4,"100%","50%",15,2,27,21,"73.7%","26.3%","10.0%","25%",2,-89,-2,9.5,"29.0%",454,"25.2%","24.5%",0.29,0.3
"Spirit","Afreeca Freecs","Jungle",3,"67%","67%",8,6,26,5.7,"66.7%","15.7%","12.5%","33%",6,-267,-2.3,6.3,"19.8%",292,"14.1%","18.6%",0.36,0.59
"Teddy","T1","ADC",5,"40%","40%",15,10,26,4.1,"68.3%","25.0%","15.4%","20%",150,106,-0.6,9.8,"31.8%",488,"29.5%","26.2%",0.49,0.32
